CustomerId,Id,AttributeId,AttributeValueId,Name,Description,ShowOnPage,DisplayOrder,Value
12947,194974,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
12947,456020,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
105309,151833,5,8,Kanal kupca za cenovnik,,TRUE,1,1
105309,223822,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
105309,491800,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
7748,136929,5,8,Kanal kupca za cenovnik,,TRUE,1,1
7748,206595,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
7748,471162,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
983,150989,5,8,Kanal kupca za cenovnik,,TRUE,1,1
983,195090,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
983,484554,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
26905,185296,5,8,Kanal kupca za cenovnik,,TRUE,1,1
26905,195835,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
26905,485975,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
49516,148050,5,8,Kanal kupca za cenovnik,,TRUE,1,1
49516,241959,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
49516,482937,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
12445,125433,5,8,Kanal kupca za cenovnik,,TRUE,1,1
12445,236202,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
12445,454216,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
16961,126153,5,8,Kanal kupca za cenovnik,,TRUE,1,1
16961,204798,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
16961,480731,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
17657,160414,5,8,Kanal kupca za cenovnik,,TRUE,1,1
17657,211287,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
17657,490075,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
26042,136589,5,8,Kanal kupca za cenovnik,,TRUE,1,1
26042,236583,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
26042,498024,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
32392,146815,5,8,Kanal kupca za cenovnik,,TRUE,1,1
32392,208618,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
32392,469039,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
15668,144661,5,8,Kanal kupca za cenovnik,,TRUE,1,1
15668,195051,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
15668,484174,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
110011,130644,5,8,Kanal kupca za cenovnik,,TRUE,1,1
110011,194453,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
110011,482058,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
45400,174806,5,8,Kanal kupca za cenovnik,,TRUE,1,2
45400,221937,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
45400,480384,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
124756,177694,5,8,Kanal kupca za cenovnik,,TRUE,1,1
124756,197683,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
124756,465205,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
7835,155285,5,8,Kanal kupca za cenovnik,,TRUE,1,1
7835,194770,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
7835,503746,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
13923,148670,5,8,Kanal kupca za cenovnik,,TRUE,1,1
13923,193523,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
13923,488414,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
4618,149788,5,8,Kanal kupca za cenovnik,,TRUE,1,1
4618,202942,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
4618,458884,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
100835,504884,5,8,Kanal kupca za cenovnik,,TRUE,1,2
100835,504942,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
100835,504961,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
11252,143665,5,8,Kanal kupca za cenovnik,,TRUE,1,1
11252,212800,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
11252,495913,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
18004,140001,5,8,Kanal kupca za cenovnik,,TRUE,1,1
18004,207709,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
18004,491718,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
5775,179277,5,8,Kanal kupca za cenovnik,,TRUE,1,1
5775,241354,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
5775,490551,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
