CustomerId,Code,Name,Smlturnover,Sean,Priority,ExistTradeAgreement,CentralOffice,BalanceCritical,PaymentCondition,PaymentAvgDays,OldestOpenInvDate,LatestInvDate,LatestPayDate,FirstInvDate,ExistOrsy,ExistOrsy100,TreasuryBill,CustPaymentMethod,GP_,SharedSelfMadeTurnover12m,PlanCurrentYear,TurnoverCurrentYear,FullfilmentCurrentYear,Plan12Months,Turnover12Months,Fullfilment12Months,SalesTargetYtm,ActualSalesYtm,SalesTargetMonth,ActualSalesMonth,TrendActualSalesYtm,TrendArticlesYtm,TrendActualSalesMonth,TrendArticlesMonth,CreditLimit,Balance,BalanceOutOfLimit,Coefficient,Color,BillOfExchange,CustomerOwnTurnover,Potential,RegBalance,UpTo30Days,From31To60Days,From61To90Days,Over90Days,Turnover6Months,TurnoverLastYear,BlueCoatsNo,GrayCoatsNo,TopDivision,Division,TopBranch,Branch,SecBranch,Status,FinStatus,Customer12MonthsPlan,CalculatedNumberOfVisits,CalculatedTimeAtCustomer,BusinessUnitCode,CustomerIsActive,CustPaymentConditionId,DateLastPayment,DateLastInvoice_,CentralOfficeCode,EmployeeId
7250,21920,Customer 4922,K0,N2,61,FALSE,FALSE,0,0 dana,0,,,,,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,10,0,METAL,INSTALACIJE,VISOKOGRADNJA,VISOKOGRADNJA,,2,0,0,0,0,,0,1,01/01/1753 00:00:00,01/01/1753 00:00:00,21920,19
4679,16591,Customer 4923,K0,N1,61,FALSE,FALSE,0,20 dana,0,05/06/2022 00:00:00,05/06/2022 00:00:00,05/18/2022 00:00:00,05/06/2022 00:00:00,FALSE,FALSE,0,,55.79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,"3,3",4,FALSE,10399000,100000,0,0,0,0,0,0,0,1,0,METAL,ODRŽAVANJE,ODRŽAVANJE - METAL,PLASTIKA I PET AMBALAŽA - PROIZVODNJA,,2,0,0,0,0,,0,20,01/01/1753 00:00:00,01/01/1753 00:00:00,16591,1346
47314,52796,Customer 4924,K0,A1,0,FALSE,FALSE,0,20 dana,0,,10/31/2019 00:00:00,10/11/2019 00:00:00,12/25/2018 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,52.52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,NEMA APR,3,FALSE,0,0,0,0,0,0,0,0,0,2,0,DRVO,GRADNJA,Gradnja završni radovi,"ZAVRŠNI RADOVI U GRAĐ. - FASADE, MERMER, KAMENOR.",,2,0,0,0,0,,0,20,10/11/2019 00:00:00,10/31/2019 00:00:00,52796,19
38651,48169,Customer 4925,K0,N1,0,FALSE,FALSE,0,Avans,0,,03/22/2016 00:00:00,03/24/2016 00:00:00,03/22/2016 00:00:00,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,1,0,METAL,ODRŽAVANJE,HRANA/HEMIJA/LEKOVI,"POLJOPRIVREDA – FARMA, SILOSI, HLADNJAČE",,2,0,0,0,0,,0,46,03/24/2016 00:00:00,03/22/2016 00:00:00,48169,14
1626,07028,Customer 4926,K0,N2,51,FALSE,FALSE,0,20 dana,0,04/15/2021 00:00:00,06/03/2021 00:00:00,09/20/2022 00:00:00,02/21/2013 00:00:00,FALSE,FALSE,0,,59.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,bez K,2,FALSE,0,500000,0,0,0,0,0,0,0,8,2,METAL,METAL,BRAVARIJA - INOX,INOX BRAVARIJA I PROIZVODNJA - PROCESNA INDUSTRIJA,,2,0,0,1,30,,0,20,10/22/2020 00:00:00,06/16/2020 00:00:00,07028,16
52118,53821,Customer 4927,K0,N1,0,FALSE,FALSE,0,20 dana,0,11/24/2020 00:00:00,11/24/2020 00:00:00,11/25/2020 00:00:00,11/14/2018 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,65.82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50298,0,0,"3,77",4,FALSE,14516000,100000,0,0,0,0,0,0,0,2,0,METAL,ODRŽAVANJE,HRANA/HEMIJA/LEKOVI,"PROIZVODNJA I PRERADA KARTONA, ŠTAMPARIJE",,2,0,0,0,0,,0,20,05/04/2020 00:00:00,11/24/2020 00:00:00,53821,1119
14407,32157,Customer 4928,K0,N3,61,FALSE,FALSE,0,30 dana,0,,11/29/2017 00:00:00,09/11/2018 00:00:00,01/17/2017 00:00:00,FALSE,FALSE,0,,61.89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086650,0,0,"3,77",4,FALSE,445404000,0,0,0,0,0,0,0,0,2,0,AUTO,CARGO,CARGO MEHANIČARI,AUTOBUSKE KOMPANIJE,,2,0,0,0,0,,0,24,09/11/2018 00:00:00,11/29/2017 00:00:00,32157,17
131384,69797,Customer 4929,S1,A2,0,FALSE,FALSE,0,15 dana,0,06/28/2024 00:00:00,06/28/2024 00:00:00,07/08/2024 00:00:00,06/28/2024 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,68.69,,0,3990,0,0,3990,0,0,3990,0,0,3990,1,0,0,50000,0,0,0,0,FALSE,0,0,0,0,0,0,0,3990,0,6,2,DRVO,GRADNJA,Gips,STAKLARI,,2,0,0,0,0,,1,14,01/01/1753 00:00:00,01/01/1753 00:00:00,69797,22
24734,43935,Customer 4930,K0,N1,3,FALSE,FALSE,0,0 dana,0,,,,,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRISAN,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,TRADE,TRADE,Trgovina_Gvožđara,Trgovina_Gvožđara,,2,0,0,0,0,,0,1,01/01/1753 00:00:00,01/01/1753 00:00:00,43935,13
125010,64538,Customer 4931,K0,N1,0,FALSE,FALSE,0,20 dana,0,10/19/2022 00:00:00,10/19/2022 00:00:00,,10/14/2022 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,42.43,,3,0,0,3,0,0,1.64,0,0.23,0,0,0,0,0,50000,0,0,"1,3BC",5,FALSE,19673000,700000,0,0,0,0,0,0,0,2,0,METAL,METAL,BRAVARIJA - ČELIK,METALNI ELEMENTI I NAMEŠTAJ - SERIJSKA PROIZVODNJA,,2,0,3,0,0,,0,20,01/01/1753 00:00:00,01/01/1753 00:00:00,64538,641
119078,61477,Customer 4932,S1,A2,0,FALSE,FALSE,0,20 dana,2.66,06/18/2024 00:00:00,06/18/2024 00:00:00,06/19/2024 00:00:00,11/02/2021 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,52.86,,30000,38383.23,127.94,80000,46669.23,58.34,17960,38383.23,5840,0,32629.27,14,0,0,58533,0,0,4,4,FALSE,19511000,0,0,0,0,0,0,38383.23,14039.96,5,1,AUTO,CARGO,CARGO MEHANIČARI,CARGO - PREVOZNICI (SOPSTVENO ODRŽAVANJE),,2,0,80000,0,0,,1,20,01/01/1753 00:00:00,06/18/2024 00:00:00,61477,1289
915,03890,Customer 4933,K0,N1,61,FALSE,FALSE,0,0 dana,0,,,,,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRISAN,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,AUTO,AUTO,AUTO MEHANIČARI I ELEKTRIČARI,AUTO MEHANIČARI,,2,0,0,0,0,,0,1,01/01/1753 00:00:00,01/01/1753 00:00:00,03890,7
31134,49957,Customer 4934,S1,A2,0,FALSE,FALSE,0,30 dana,149,07/10/2023 00:00:00,08/31/2023 00:00:00,02/29/2024 00:00:00,12/29/2016 00:00:00,FALSE,FALSE,0,,57.63,,0,0,0,0,17904.01,0,7800,0,0,0,-6262.39,-1,-12524.78,-1,2331950,0,0,"3,55",4,FALSE,287895000,3000000,0,0,0,0,0,0,17904.01,5,30,METAL,ODRŽAVANJE,HRANA/HEMIJA/LEKOVI,"POLJOPRIVREDA – FARMA, SILOSI, HLADNJAČE",ČELIK BRAVARIJA I LAKE ČELIČNE KONSTRUKCIJE,2,0,0,0,0,,1,24,08/18/2020 00:00:00,07/07/2020 00:00:00,49957,17
115201,58348,Customer 4935,K0,N1,0,FALSE,FALSE,0,30 dana,0,12/08/2022 00:00:00,12/08/2022 00:00:00,01/24/2023 00:00:00,10/26/2020 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,32.35,,20000,0,0,0,0,0,11880,0,0,0,0,0,0,0,50000,0,0,"3,55",4,FALSE,3847000,500000,0,0,0,0,0,0,0,1,0,TRADE,TRADE,Trgovina_Farbara,Trgovina_Farbara,,2,0,0,0,0,,0,24,01/01/1753 00:00:00,01/23/2021 00:00:00,58348,1346
37813,47794,Customer 4936,S1,A2,0,FALSE,FALSE,0,30 dana,1,11/29/2023 00:00:00,11/29/2023 00:00:00,11/30/2023 00:00:00,01/20/2016 00:00:00,FALSE,FALSE,0,,31.21,,0,0,0,0,16770.6,0,0,0,0,0,0,0,0,0,100000,0,0,"3,25",4,FALSE,13681000,100000,0,0,0,0,0,0,16770.6,4,1,DRVO,GRADNJA,Gradnja završni radovi,"ZAVRŠNI RADOVI U GRAĐ. - FASADE, MERMER, KAMENOR.",,2,0,0,0,0,,1,24,09/24/2020 00:00:00,04/29/2022 00:00:00,47794,1081
11144,27746,Customer 4937,K0,N1,51,FALSE,FALSE,0,30 dana,0,12/30/2022 00:00:00,12/30/2022 00:00:00,01/18/2023 00:00:00,06/04/2013 00:00:00,TRUE,FALSE,0,,45.61,,0,0,0,0,0,0,2332,0,0,0,0,0,0,0,50000,0,0,"2,65C",6,FALSE,2109000,400000,0,0,0,0,0,0,0,2,0,AUTO,AUTO,AUTO MEHANIČARI I ELEKTRIČARI,AUTO MEHANIČARI,,2,0,0,0,0,,0,24,07/07/2020 00:00:00,10/20/2020 00:00:00,27746,1134
44871,50306,Customer 4938,L1,A1,0,FALSE,FALSE,0,15 dana,36.17,06/12/2024 00:00:00,06/12/2024 00:00:00,07/08/2024 00:00:00,03/17/2017 00:00:00,FALSE,FALSE,0,,4.42,,0,4308.97,0,0,29491.73,0,0,4308.97,0,0,-39987.74,-55,-12753.28,-8,0,1195.07,1195.07,ICO,0,FALSE,0,0,0,10.21,0,0,0,504975.16,8149622.16,1,0,Unknown,Unknown,Unknown,Unknown,,2,3,0,0,0,,1,14,09/25/2020 00:00:00,10/12/2020 00:00:00,50306,10
10701,27135,Customer 4939,K0,N2,61,FALSE,FALSE,0,30 dana,0,,09/25/2014 00:00:00,10/30/2014 00:00:00,05/14/2014 00:00:00,FALSE,FALSE,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,BRISAN,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,TRADE,TRADE,Trgovina Tenderi,Trgovina Tenderi,,2,0,0,0,0,,0,24,10/30/2014 00:00:00,09/25/2014 00:00:00,27135,13
