CustomerId,CategoryOfItemsId,Turnover,Potential,UnusedPotential,NoOfItems,Name
39448,7900,5772.72,52234.2,46461.48,1,Antifriz                      
39448,7904,0,14969.81,14969.81,0,Triathlon                     
39448,7905,22310.86,36653.46,14342.6,11,Sredstva za negu i održavanje 
39448,7909,0,22279.64,22279.64,0,Cipele - Zaštita na radu
39448,7986,0,12222.45,12222.45,0,Hidraulična ulja
39448,7987,35776.1,168925.9,133149.8,1,Farm ulja
39448,8000,1307.84,27926.2,26618.36,1,Cargo specijal
39448,8056,23686.2,23686.2,0,3,Auto Stakla- Tečnosti
39448,8059,3365.88,95765.26,92399.38,1,Čistač kočnica
8329,7800,0,48955.29,48955.29,0,Sijalice                      
8329,7806,2930.4,6064.03,3133.63,1,Rukavice - Zaštita na radu
8329,7815,13.28,4163.28,4150,2,Radna odeća -Zaštita na radu
8329,7820,0,4934.02,4934.02,0,MASTER mašine                 
8329,7841,853.45,0,0,0,DIN program                   
8329,7859,0,5652.98,5652.98,0,Podmazivači                   
8329,7863,0,33938.99,33938.99,0,Brisači auto stakla           
8329,7867,0,3961.37,3961.37,0,DOS lepkovi i Super RTV       
8329,7869,2808.82,5260.89,2452.07,2,"Šelne za creva, ZEBRA         "
8329,7874,0,10812.88,10812.88,0,"Creva za gorivo, PVC creva    "
8329,7900,0,26564.86,26564.86,0,Antifriz                      
8329,7904,0,3845.46,3845.46,0,Triathlon                     
8329,7905,0,11847.4,11847.4,0,Sredstva za negu i održavanje 
8329,7989,815.08,0,0,0,Coolius Potrošno
8329,7998,0,5180.55,5180.55,0,RUČNI ALAT
8329,7999,3798.9,4265.82,466.92,2,Auto specijal
8329,8059,39624,39624,0,1,Čistač kočnica
45637,7806,0,6058.01,6058.01,0,Rukavice - Zaštita na radu
45637,7815,8400,10474.42,2074.42,6,Radna odeća -Zaštita na radu
45637,7819,0,6309.08,6309.08,0,PUR pene                      
45637,7820,0,12911.97,12911.97,0,MASTER mašine                 
45637,7829,0,4611.97,4611.97,0,Vijci za gips                 
45637,7836,0,3677.66,3677.66,0,"Ankeri, tiplovi               "
45637,7853,204.74,5156.25,4951.51,1,Rezne ploče          
45637,7856,787.25,0,0,0,Vijci za drvo                 
45637,7865,500.54,0,0,0,Šelne sa gumom i instalacije
45637,7867,0,3583.3,3583.3,0,DOS lepkovi i Super RTV       
45637,7870,0,4183.14,4183.14,0,Izolir i vulkanizirajuće trake
45637,7891,0,3067.28,3067.28,0,Lak sprejevi                  
45637,7893,0,4704.02,4704.02,0,Bašta - motorni program
45637,7908,0,5169.86,5169.86,0,Masti                         
45637,7909,0,10358.71,10358.71,0,Cipele - Zaštita na radu
45637,7998,7133.96,7133.96,0,2,RUČNI ALAT
45637,8007,218.68,0,0,0,CONMETALL OBRADA MATERIJALA
45637,8062,0,3410.59,3410.59,0,Radna odela - Zaštita na radu
52842,7796,5740.34,0,0,0,Sanitar - Instalacije
52842,7805,4384,31977.38,27593.38,1,K+D/MS Polimeri               
